Sample	Unique Reads	Duplicate Reads
24L007783_1	6205011.0	238804.0
24L007783_2	4327886.0	2115929.0
24L007783_3	6291519.0	244125.0
24L007783_4	4446902.0	2088742.0
24L007784_1	6956652.0	270363.0
24L007784_2	5077875.0	2149140.0
24L007784_3	7049493.0	289097.0
24L007784_4	5202497.0	2136093.0
2CLCmesc_0-0-3_S15_1	20658750.0	1893974.0
2CLCmesc_0-0-3_S15_2	15210200.0	7342524.0
2CLCmesc_0-0-4_S16_1	16701435.0	473340.0
2CLCmesc_0-0-4_S16_2	11217304.0	5957471.0
2CLCmesc_003_RR_S3_1	10896508.0	350410.0
2CLCmesc_003_RR_S3_2	3290481.0	7956437.0
2CLCmesc_004_RR_S4_1	11654825.0	213966.0
2CLCmesc_004_RR_S4_2	3271099.0	8597692.0
2CLCmesc_1_RR_S9_1	3392484.0	72483.0
2CLCmesc_1_RR_S9_2	1195381.0	2269586.0
2CLCmesc_1_S1_1	13348816.0	530932.0
2CLCmesc_1_S1_2	9828607.0	4051141.0
2CLCmesc_2_RR_S10_1	8127819.0	213882.0
2CLCmesc_2_RR_S10_2	2705670.0	5636031.0
2CLCmesc_2_S2_1	10903105.0	388131.0
2CLCmesc_2_S2_2	8310875.0	2980361.0
2CLCmesc_3_RR_S11_1	12750169.0	456293.0
2CLCmesc_3_RR_S11_2	6118595.0	7087867.0
2CLCmesc_3_S5_1	19631528.0	920152.0
2CLCmesc_3_S5_2	14915604.0	5636076.0
2CLCmesc_4_RR_S12_1	11051852.0	967995.0
2CLCmesc_4_RR_S12_2	7772015.0	4247832.0
2CLCmesc_4_S6_1	14402525.0	1517352.0
2CLCmesc_4_S6_2	10479983.0	5439894.0
2CLCmesc_5_RR_S13_1	6432577.0	274541.0
2CLCmesc_5_RR_S13_2	3816710.0	2890408.0
2CLCmesc_5_S7_1	16061725.0	878715.0
2CLCmesc_5_S7_2	10260701.0	6679739.0
2CLCmesc_6_RR_S14_1	4576850.0	819945.0
2CLCmesc_6_RR_S14_2	3454076.0	1942719.0
2CLCmesc_6_S8_1	7804270.0	1506657.0
2CLCmesc_6_S8_2	6176836.0	3134091.0
combined_003_1	20658750.0	1893974.0
combined_003_2	15210200.0	7342524.0
combined_003_3	10896508.0	350410.0
combined_003_4	3290481.0	7956437.0
combined_004_1	16701435.0	473340.0
combined_004_2	11217304.0	5957471.0
combined_004_3	11654825.0	213966.0
combined_004_4	3271099.0	8597692.0
combined_1_1	13348816.0	530932.0
combined_1_2	9828607.0	4051141.0
combined_1_3	3392484.0	72483.0
combined_1_4	1195381.0	2269586.0
combined_2_1	10903105.0	388131.0
combined_2_2	8310875.0	2980361.0
combined_2_3	8127819.0	213882.0
combined_2_4	2705670.0	5636031.0
combined_3_1	19631528.0	920152.0
combined_3_2	14915604.0	5636076.0
combined_3_3	12750169.0	456293.0
combined_3_4	6118595.0	7087867.0
combined_4_1	14402525.0	1517352.0
combined_4_2	10479983.0	5439894.0
combined_4_3	11051852.0	967995.0
combined_4_4	7772015.0	4247832.0
combined_5_1	16061725.0	878715.0
combined_5_2	10260701.0	6679739.0
combined_5_3	6432577.0	274541.0
combined_5_4	3816710.0	2890408.0
combined_6_1	7804270.0	1506657.0
combined_6_2	6176836.0	3134091.0
combined_6_3	4576850.0	819945.0
combined_6_4	3454076.0	1942719.0
